gene_name,gene_id,num_codewords,num_probesets,full_name,location,cell_type,cellchat_pathway
ACE,ENSG00000159640,3,3,Angiotensin-converting enzyme (ACE),Cell membrane,epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;columnar/cuboidal epithelial cell;lung endothelial cell;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;endothelial cell;endothelial cell of vascular tree,
ACE2,ENSG00000130234,3,3,Angiotensin-converting enzyme 2,Apical cell membrane,ciliated epithelial cell;enterocyte;enterocyte of epithelium of small intestine;columnar/cuboidal epithelial cell;type L enteroendocrine cell;intestinal epithelial cell;epithelial cell of small intestine,
ACHE,ENSG00000087085,3,3,Acetylcholinesterase (AChE),Synapse,medullary thymic epithelial cell;follicular dendritic cell,
ACKR3,ENSG00000144476,3,3,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF
ACLY,ENSG00000131473,4,3,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,
ACOD1,ENSG00000102794,3,3,Cis-aconitate decarboxylase (CAD),Mitochondrion,,
ACP5,ENSG00000102575,2,2,Tartrate-resistant acid phosphatase type 5 (TR-AP),Lysosome,macrophage;tissue-resident macrophage;alveolar macrophage;colon macrophage;lung macrophage;mononuclear phagocyte;osteoclast;basophil;professional antigen presenting cell;Langerhans cell;intermediate monocyte;mononuclear cell;lymphocyte;B cell,
ACPP,ENSG00000014257,1,1,ACPP protein,,,
ACRBP,ENSG00000111644,2,2,"Acrosin-binding protein (Acrosin-binding protein, 60 kDa form) (Cancer/testis antigen 23) (CT23) (Cancer/testis antigen OY-TES-1) (Proacrosin-binding protein sp32)",Secreted,blood cell;platelet;peripheral blood mononuclear cell;megakaryocyte-erythroid progenitor cell;megakaryocyte,
ACRV1,ENSG00000134940,3,3,Acrosomal protein SP-10 (Acrosomal vesicle protein 1),Cytoplasmic vesicle,,
ACSL4,ENSG00000068366,3,3,Long-chain-fatty-acid--CoA ligase 4,Mitochondrion outer membrane,hepatoblast;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;intestinal tuft cell;tuft cell of colon;kidney distal convoluted tubule epithelial cell;mast cell;lung secretory cell,
ACTBL2,ENSG00000169067,3,3,Beta-actin-like protein 2 (Kappa-actin),Cytoplasm,,
ACTL6A,ENSG00000136518,3,3,Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K),Nucleus,,
ACTL7A,ENSG00000187003,3,3,Actin-like protein 7A (Actin-like-7-alpha),Cytoplasm,,
ACTN1,ENSG00000072110,2,2,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),Cytoplasm,myoepithelial cell;myoepithelial cell of mammary gland;retinal blood vessel endothelial cell;smooth muscle cell;smooth muscle cell of sphincter of pupil;enteric smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell,
ACTN2,ENSG00000077522,2,2,Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein),Cytoplasm,muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;skeletal muscle fiber;slow muscle cell;fast muscle cell;cell of skeletal muscle;muscle precursor cell;cardiac muscle myoblast,
ACTN4,ENSG00000130402,3,2,Alpha-actinin-4 (Non-muscle alpha-actinin 4),Nucleus,myoepithelial cell;myoepithelial cell of mammary gland;podocyte,
ACVR1,ENSG00000115170,3,3,Activin receptor type-1,Membrane,,TGFb;BMP;AMH
ACVR1B,ENSG00000135503,3,3,Activin receptor type-1B,Cell membrane,,TGFb;GDF;MSTN;NODAL;ACTIVIN
ACVR2A,ENSG00000121989,3,3,Activin receptor type-2A,Cell membrane,,BMP;BMP10;GDF;MSTN;NODAL;ACTIVIN
ACVRL1,ENSG00000139567,3,3,Serine/threonine-protein kinase receptor R3 (SKR3),Cell membrane,mesenchymal stem cell;epithelial cell;blood vessel endothelial cell;endothelial cell of umbilical vein;vasa recta descending limb cell;endothelial cell of artery;capillary endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;fibroblast of breast,BMP10
ACYP2,ENSG00000170634,3,3,Acylphosphatase-2,,pancreatic D cell,
ADA,ENSG00000196839,3,3,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",
ADAM10,ENSG00000137845,3,3,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10),Cell membrane,papillary tips cell,
ADAM12,ENSG00000148848,3,3,Disintegrin and metalloproteinase domain-containing protein 12 (ADAM 12),Secreted,preosteoblast;trophoblast giant cell;extravillous trophoblast;preadipocyte;brown preadipocyte;white fat cell;mesangial cell,
ADAM17,ENSG00000151694,3,3,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17),Membrane,alveolar macrophage;lung macrophage,
ADAM28,ENSG00000042980,2,2,Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28),Secreted,basal cell of epithelium of trachea;lung goblet cell;macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;mature microglial cell;professional antigen presenting cell;memory B cell;unswitched memory B cell;class switched memory B cell,
ADAM33,ENSG00000149451,3,3,Disintegrin and metalloproteinase domain-containing protein 33 (ADAM 33),Membrane,smooth muscle cell of prostate;skin fibroblast,
ADAM8,ENSG00000151651,3,3,Disintegrin and metalloproteinase domain-containing protein 8 (ADAM 8),Membrane,"blood cell;granulocyte;basophil;eosinophil;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human;ILC1, human",
ADAM9,ENSG00000168615,3,3,Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9),Secreted,salivary gland cell,
ADAMDEC1,ENSG00000134028,3,3,ADAM DEC1,Secreted,mononuclear phagocyte;smooth muscle fiber of ileum;myofibroblast cell;mesenchymal cell,
ADAMTS1,ENSG00000154734,4,4,A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1),Secreted,vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;lung microvascular endothelial cell;lung endothelial cell;muscle cell;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;smooth muscle cell of prostate;myofibroblast cell;pericyte;mural cell,
ADAMTS12,ENSG00000151388,3,3,A disintegrin and metalloproteinase with thrombospondin motifs 12 (ADAM-TS 12) (ADAM-TS12) (ADAMTS-12),Secreted,hepatic stellate cell;alveolar type 2 fibroblast cell;kidney interstitial fibroblast;fat cell;adipocyte of breast;adipocyte of epicardial fat of left ventricle;pericyte;kidney interstitial cell,
ADAMTS19,ENSG00000145808,3,3,A disintegrin and metalloproteinase with thrombospondin motifs 19 (ADAM-TS 19) (ADAM-TS19) (ADAMTS-19),Secreted,interstitial cell of Cajal;taste receptor cell;cortical cell of adrenal gland;kidney glomerular epithelial cell;podocyte;sympathetic neuron,
ADAMTS2,ENSG00000087116,3,3,A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2),Secreted,hepatic stellate cell;alveolar type 2 fibroblast cell;preadipocyte;subcutaneous fat cell,
ADAMTS4,ENSG00000158859,2,2,A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;smooth muscle cell of prostate;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;myofibroblast cell;pericyte;mural cell,
ADAMTS5,ENSG00000154736,3,3,A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5),Secreted,mesenchymal stem cell,
ADAMTSL3,ENSG00000156218,3,3,ADAMTS-like protein 3 (ADAMTSL-3) (Punctin-2),Secreted,interstitial cell of Cajal;renal beta-intercalated cell;hepatic stellate cell;fibroblast of cardiac tissue;fibro/adipogenic progenitor cell,
ADAR,ENSG00000160710,4,3,Double-stranded RNA-specific adenosine deaminase (DRADA),Cytoplasm,epithelial cell;endothelial cell;endothelial cell of vascular tree;IgA plasmablast,
ADCY2,ENSG00000078295,2,2,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,
ADCYAP1,ENSG00000141433,2,2,Pituitary adenylate cyclase-activating polypeptide (PACAP),Secreted,type B pancreatic cell;enteroendocrine cell;endocrine cell;basophil;mast cell,PACAP
ADCYAP1R1,ENSG00000078549,3,3,Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1),Cell membrane,,PACAP
ADD1,ENSG00000087274,3,2,Alpha-adducin (Erythrocyte adducin subunit alpha),Cytoplasm,neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal rod cell,
ADGRA1,ENSG00000197177,3,3,Adhesion G protein-coupled receptor A1 (G-protein coupled receptor 123),Membrane,,
ADGRA2,ENSG00000020181,3,3,Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5),Cell membrane,interstitial cell of Cajal;interstitial cell of ovary,ADGRA
ADGRA3,ENSG00000152990,2,2,Adhesion G protein-coupled receptor A3 (G-protein coupled receptor 125),Membrane,cholangiocyte;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell,
ADGRB1,ENSG00000181790,3,3,Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1),Cell membrane,,ADGRB
ADGRB2,ENSG00000121753,3,3,Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2),Cell membrane,,ADGRB
ADGRD1,ENSG00000111452,2,2,Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133) (G-protein coupled receptor PGR25),Cell membrane,fibroblast of cardiac tissue,
ADGRD2,ENSG00000180264,3,3,Adhesion G-protein coupled receptor D2 (G-protein coupled receptor 144) (G-protein coupled receptor PGR24),Membrane,ependymal cell,
ADGRE1,ENSG00000174837,3,3,Adhesion G protein-coupled receptor E1 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor),Cell membrane,,
ADGRE2,ENSG00000127507,3,3,Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312),Cell membrane,granulocyte;Langerhans cell,ADGRE
ADGRE5,ENSG00000123146,3,3,Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97),Cell membrane,"alveolar macrophage;lung macrophage;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;T-helper 1 cell;mature NK T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 3 innate lymphoid cell;peripheral blood mononuclear cell",ADGRE
ADGRG5,ENSG00000159618,3,3,Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27),Cell membrane,,
ADGRG6,ENSG00000112414,3,3,Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor),Cell membrane,brush cell;intestinal tuft cell;tuft cell of colon;parietal epithelial cell;muscle cell;smooth muscle cell,ADGRG
ADGRL1,ENSG00000072071,3,3,Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2),Cell membrane,,ADGRL
ADGRL4,ENSG00000162618,2,2,"Adhesion G protein-coupled receptor L4 (EGF, latrophilin and seven transmembrane domain-containing protein 1) (EGF-TM7-latrophilin-related protein) (ETL protein)",Cell membrane,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;vein endothelial cell;endothelial cell of umbilical vein;vasa recta ascending limb cell;vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;kidney capillary endothelial cell;glomerular capillary endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;endothelial cell of uterus;cardiac endothelial cell,
ADIPOQ,ENSG00000181092,3,3,"Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)",Secreted,fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,ADIPONECTIN
ADIPOR1,ENSG00000159346,3,3,Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I),Cell membrane,erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte,ADIPONECTIN
ADIPOR2,ENSG00000006831,2,2,Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member 2) (Progestin and adipoQ receptor family member II),Cell membrane,melanocyte;brown fat cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,ADIPONECTIN
ADM,ENSG00000148926,2,2,Pro-adrenomedullin,Secreted,glomerular capillary endothelial cell;trophoblast giant cell;extravillous trophoblast;myeloid cell;fibroblast of breast;white fat cell,CALCR;ADM
ADNP,ENSG00000101126,3,3,Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein),Nucleus,,
ADORA1,ENSG00000163485,3,3,Adenosine receptor A1,Cell membrane,,CD39;Adenosine
ADORA2A,ENSG00000128271,3,3,Adenosine receptor A2a,Cell membrane,,CD39;Adenosine
ADORA2B,ENSG00000170425,3,3,Adenosine receptor A2b,Cell membrane,,CD39;Adenosine
ADORA3,ENSG00000282608,3,3,Adenosine receptor A3,Cell membrane,microglial cell,CD39;Adenosine
ADRA1A,ENSG00000120907,3,3,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c),Nucleus membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,Adrenaline;Noradrenaline
ADRA1B,ENSG00000170214,3,3,Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor),Nucleus membrane,,Adrenaline;Noradrenaline
ADRA1D,ENSG00000171873,3,3,Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor) (Alpha-adrenergic receptor 1a),Cell membrane,,Adrenaline;Noradrenaline
ADRA2A,ENSG00000150594,3,3,Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),Cell membrane,vascular associated smooth muscle cell;mural cell,Adrenaline;Noradrenaline
ADRA2B,ENSG00000274286,3,3,Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR),Cell membrane,,Adrenaline;Noradrenaline
ADRA2C,ENSG00000184160,3,3,Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR),Cell membrane,uterine smooth muscle cell;myometrial cell;smooth muscle cell of prostate;myofibroblast cell;stromal cell;stromal cell of ovary;pericyte;mural cell,Adrenaline;Noradrenaline
ADRB1,ENSG00000043591,3,3,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),Cell membrane,,Adrenaline;Noradrenaline
ADRB2,ENSG00000169252,3,3,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),Cell membrane,stem cell of epidermis;keratinocyte;epidermal cell;mast cell,Adrenaline;Noradrenaline
ADRB3,ENSG00000188778,3,3,Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor),Cell membrane,,Adrenaline;Noradrenaline
ADTRP,ENSG00000111863,3,3,Androgen-dependent TFPI-regulating protein (Fatty acid esters of hydroxy fatty acids hydrolase ADTRP) (FAHFA hydrolase ADTRP),Cell membrane,,
AEBP1,ENSG00000106624,2,2,Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein),Cytoplasm,"preosteoblast;bronchial smooth muscle cell;smooth muscle cell of prostate;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;connective tissue cell;fibroblast;keratocyte;reticular cell;pancreatic stellate cell;fibroblast of mammary gland;skin fibroblast;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;tendon cell;adventitial cell",
AFAP1L2,ENSG00000169129,3,3,Actin filament-associated protein 1-like 2 (AFAP1-like protein 2),Cytoplasm,"brush cell;intestinal tuft cell;tuft cell of colon;decidual natural killer cell, human",
AFF1,ENSG00000172493,3,3,AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4),Nucleus,renal principal cell;trophoblast giant cell;papillary tips cell,
AFF2,ENSG00000155966,3,3,AF4/FMR2 family member 2 (Protein FMR-2) (FMR2P) (Protein Ox19),Nucleus speckle,,
AFG1L,ENSG00000135537,3,3,AFG1-like ATPase (Lactation elevated protein 1),Mitochondrion membrane,,
AFM,ENSG00000079557,3,3,Afamin (Alpha-albumin) (Alpha-Alb),Secreted,,
AGAP1,ENSG00000157985,2,2,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (AGAP-1) (Centaurin-gamma-2) (Cnt-g2) (GTP-binding and GTPase-activating protein 1) (GGAP1)",Cytoplasm,oligodendrocyte precursor cell;bipolar neuron;retinal bipolar neuron,
AGAP3,ENSG00000133612,3,3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 (AGAP-3) (CRAM-associated GTPase) (CRAG) (Centaurin-gamma-3) (Cnt-g3) (MR1-interacting protein) (MRIP-1)",Cytoplasm,,
