gene,gene_id,num_codewords,num_probesets,full_name,location,cell_type,cellchat_pathway,immune_specificity,immune_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
ADORA2A,ENSG00000128271,3,3,Adenosine receptor A2a,Cell membrane,,CD39;Adenosine,,TRUE,no,0.263,0.281
ADORA2B,ENSG00000170425,3,3,Adenosine receptor A2b,Cell membrane,,CD39;Adenosine,,TRUE,no,0.172,0.132
ADORA3,ENSG00000282608,3,3,Adenosine receptor A3,Cell membrane,microglial cell,CD39;Adenosine,1,TRUE,no,0.785,0.683
AFAP1L2,ENSG00000169129,3,3,Actin filament-associated protein 1-like 2 (AFAP1-like protein 2),Cytoplasm,"brush cell;intestinal tuft cell;tuft cell of colon;decidual natural killer cell, human",,0.75,FALSE,no,7.496,5.21
AHCY,ENSG00000101444,3,3,Adenosylhomocysteinase (AdoHcyase),Cytoplasm,macrophage dendritic cell progenitor,,1,FALSE,no,27.863,22.805
AHR,ENSG00000106546,3,3,Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76),Cytoplasm,"lung goblet cell;mast cell;group 2 innate lymphoid cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",,1,FALSE,no,5.117,6.008
AICDA,ENSG00000111732,3,3,Single-stranded DNA cytosine deaminase,Nucleus,germinal center B cell,,1,FALSE,no,0.046,0.01
AIM2,ENSG00000163568,3,3,Interferon-inducible protein AIM2 (Absent in melanoma 2),Cytoplasm,memory B cell;class switched memory B cell;follicular B cell,,1,FALSE,no,0.059,0.081
AIP,ENSG00000110711,3,3,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),Cytoplasm,DN4 thymocyte;B cell,,1,FALSE,no,4.623,5.745
ALDH2,ENSG00000111275,3,3,"Aldehyde dehydrogenase, mitochondrial",Mitochondrion matrix,"microfold cell of epithelium of small intestine;alveolar macrophage;lung macrophage;myeloid dendritic cell, human",,0.75,FALSE,no,14.451,12.373
ALOX5,ENSG00000012779,3,3,Polyunsaturated fatty acid 5-lipoxygenase,Cytoplasm,brush cell;intestinal tuft cell;tuft cell of colon;macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;eosinophil;Langerhans cell;B-1b B cell;mast cell,,0.916666666666667,FALSE,no,4.407,4.796
AMFR,ENSG00000159461,3,3,E3 ubiquitin-protein ligase AMFR,Endoplasmic reticulum membrane,"kidney collecting duct intercalated cell;phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;CD8-positive, alpha-beta T cell;mature gamma-delta T cell;megakaryocyte",,0.8,FALSE,no,9.498,8.472
ANGPTL8,ENSG00000130173,3,3,Angiopoietin-like protein 8 (Betatrophin) (Lipasin) (Refeeding-induced fat and liver protein),Secreted,subcutaneous fat cell,,1,FALSE,no,0.025,0.025
ANKRD13A,ENSG00000076513,3,3,Ankyrin repeat domain-containing protein 13A (Protein KE03),Cell membrane,germinal center B cell,,1,FALSE,no,10.661,11.19
ANKRD44,ENSG00000065413,2,2,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B (PP6-ARS-B) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-B) (Ankyrin repeat domain-containing protein 44),,tissue-resident macrophage;Kupffer cell;central nervous system macrophage;mature microglial cell;melanocyte of skin,,0.8,FALSE,no,1.379,1.947
ANP32E,ENSG00000143401,3,3,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),Cytoplasm,"double-positive, alpha-beta thymocyte;T-helper 17 cell;DN4 thymocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",,0.833333333333333,FALSE,no,4.221,3.748
AOAH,ENSG00000136250,2,2,Acyloxyacyl hydrolase,Secreted,"macrophage;tissue-resident macrophage;Kupffer cell;central nervous system macrophage;microglial cell;mature microglial cell;hematopoietic cell;leukocyte;myeloid leukocyte;activated CD8-positive, alpha-beta T cell;innate lymphoid cell;CD16-positive, CD56-dim natural killer cell, human;immature innate lymphoid cell;myeloid cell",,1,FALSE,no,0.894,2.817
AP1B1,ENSG00000100280,3,3,AP-1 complex subunit beta-1 (Adaptor protein complex AP-1 subunit beta-1) (Adaptor-related protein complex 1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit),Golgi apparatus;Cytoplasmic vesicle,late pro-B cell,,1,FALSE,no,15.918,16.628
AP2A2,ENSG00000183020,3,3,AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit),Cell membrane,Kupffer cell;immature innate lymphoid cell,,1,FALSE,no,9.342,10.757
AP3M2,ENSG00000070718,2,2,AP-3 complex subunit mu-2 (Adaptor-related protein complex 3 subunit mu-2) (Clathrin assembly protein assembly protein complex 3 mu-2 medium chain) (Clathrin coat assembly protein AP47 homolog 2) (Clathrin coat-associated protein AP47 homolog 2) (Golgi adaptor AP-1 47 kDa protein homolog 2) (HA1 47 kDa subunit homolog 2) (Mu3B-adaptin) (P47B),Golgi apparatus;Cytoplasmic vesicle membrane,"CD4-positive, alpha-beta memory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",,1,FALSE,no,0.504,0.639
APMAP,ENSG00000101474,4,2,Adipocyte plasma membrane-associated protein (Protein BSCv),Membrane,"placental villous trophoblast;syncytiotrophoblast cell;innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;white fat cell;sebaceous gland cell",,0.75,FALSE,no,8.848,7.818
APOBEC3C,ENSG00000244509,3,3,DNA dC->dU-editing enzyme APOBEC-3C (A3C),Nucleus,"decidual natural killer cell, human",,1,FALSE,no,2.812,2.273
APOBEC3G,ENSG00000239713,3,3,DNA dC->dU-editing enzyme APOBEC-3G,Cytoplasm;Nucleus;Cytoplasm,"plasmablast;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mucosal invariant T cell;mature gamma-delta T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;decidual natural killer cell, human;ILC1, human",,1,FALSE,no,0.489,0.712
APOL2,ENSG00000128335,2,2,Apolipoprotein L2 (Apolipoprotein L-II) (ApoL-II),Cytoplasm,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell,,1,FALSE,no,5.605,5.386
ARF6,ENSG00000165527,3,3,ADP-ribosylation factor 6,Cytoplasm,"epithelial cell of urethra;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;decidual natural killer cell, human",,0.875,FALSE,no,11.185,8.344
ARRB2,ENSG00000141480,3,3,Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3),Cytoplasm;Nucleus;Cell membrane;Membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;granulocyte;neutrophil;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell",,1,FALSE,no,9.204,10.614
ASF1B,ENSG00000105011,3,3,Histone chaperone ASF1B (Anti-silencing function protein 1 homolog B) (hAsf1) (hAsf1b) (CCG1-interacting factor A-II) (CIA-II) (hCIA-II),Nucleus,precursor B cell;large pre-B-II cell;pro-B cell,,1,FALSE,no,0.248,0.148
ATG2A,ENSG00000110046,2,2,Autophagy-related protein 2 homolog A,Preautophagosomal structure membrane,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",,1,FALSE,no,2.455,3.748
ATG7,ENSG00000197548,2,2,Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein),Cytoplasm,Kupffer cell;immature innate lymphoid cell,,1,FALSE,no,1.781,2.171
ATIC,ENSG00000138363,3,3,Bifunctional purine biosynthesis protein ATIC (AICAR transformylase/inosine monophosphate cyclohydrolase) (ATIC),Cytoplasm,macrophage dendritic cell progenitor,,1,FALSE,no,10.254,10.1
ATOH1,ENSG00000172238,3,3,Transcription factor ATOH1 (Atonal bHLH transcription factor 1) (Class A basic helix-loop-helix protein 14) (bHLHa14) (Helix-loop-helix protein hATH-1) (hATH1) (Protein atonal homolog 1),Nucleus,intestine goblet cell;large intestine goblet cell;colon goblet cell;small intestine goblet cell,,1,FALSE,no,0.032,
ATP5F1C,ENSG00000165629,2,2,"ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)",Mitochondrion inner membrane,mast cell;mucosal type mast cell,,1,FALSE,no,23.016,20.941
AURKB,ENSG00000178999,3,3,Aurora kinase B,Nucleus,precursor B cell;large pre-B-II cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell,,0.8,FALSE,no,0.305,0.272
BACH2,ENSG00000112182,3,3,Transcription regulator protein BACH2 (BTB and CNC homolog 2),Cytoplasm,lens fiber cell;secondary lens fiber;B cell;precursor B cell;small pre-B-II cell;pre-B-I cell;late pro-B cell,,0.714285714285714,FALSE,no,1.134,1.187
BCL11A,ENSG00000119866,3,3,B-cell lymphoma/leukemia 11A (BCL-11A) (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein homolog) (EVI-9) (Zinc finger protein 856),Cytoplasm,"plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;common dendritic progenitor;hematopoietic multipotent progenitor cell;early lymphoid progenitor;common lymphoid progenitor;Purkinje cell",,0.875,FALSE,no,2.776,2.232
BCL11B,ENSG00000127152,2,2,B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1),Nucleus,"lymphocyte;T cell;alpha-beta T cell;double-positive, alpha-beta thymocyte;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;central memory CD8-positive, alpha-beta T cell;type I NK T cell;mature T cell;memory T cell;regulatory T cell;naive T cell;immature T cell;thymocyte;double negative thymocyte;DN3 thymocyte;DN4 thymocyte;DN1 thymic pro-T cell;early T lineage precursor",,0.9375,FALSE,no,0.083,0.146
BCL2A1,ENSG00000140379,2,2,Bcl-2-related protein A1 (Bcl-2-like protein 5) (Bcl2-L-5) (Hemopoietic-specific early response protein) (Protein BFL-1) (Protein GRS),Cytoplasm,"phagocyte;macrophage;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;colon macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;follicular dendritic cell;hematopoietic cell;blood cell;granulocyte;neutrophil;leukocyte;professional antigen presenting cell;myeloid dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell;myelocyte",,0.92,FALSE,no,0.333,0.358
BID,ENSG00000015475,3,3,BH3-interacting domain death agonist (p22 BID) (BID),Cytoplasm,"CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;non-classical monocyte;pre-conventional dendritic cell",,1,FALSE,no,1.289,0.952
BIRC5,ENSG00000089685,3,3,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),Cytoplasm,"double-positive, alpha-beta thymocyte;large pre-B-II cell",,1,FALSE,no,0.708,0.358
BLK,ENSG00000136573,3,3,Tyrosine-protein kinase Blk,Cell membrane,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1a B cell;B-1b B cell;follicular B cell;germinal center B cell;B cell;immature B cell;transitional stage B cell,,1,FALSE,no,0.026,0.046
BLNK,ENSG00000095585,3,3,B-cell linker protein (B-cell adapter containing a SH2 domain protein) (B-cell adapter containing a Src homology 2 domain protein) (Cytoplasmic adapter protein) (Src homology 2 domain-containing leukocyte protein of 65 kDa) (SLP-65),Cytoplasm,central nervous system macrophage;B-1a B cell;late pro-B cell;early lymphoid progenitor;pro-B cell;fraction A pre-pro B cell,,1,FALSE,no,1.718,1.959
BRCA2,ENSG00000139618,3,3,Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein),Nucleus,common dendritic progenitor,,1,FALSE,no,0.506,0.309
BTK,ENSG00000010671,3,3,Tyrosine-protein kinase BTK,Cytoplasm,basophil;eosinophil;B-1a B cell;B-1b B cell;small pre-B-II cell;pre-B-I cell,,1,FALSE,no,0.95,1.736
BTLA,ENSG00000186265,3,3,B- and T-lymphocyte attenuator (B- and T-lymphocyte-associated protein) (CD antigen CD272),Cell membrane,naive B cell;B cell,BTLA,1,FALSE,no,0.069,0.046
C3AR1,ENSG00000171860,3,3,C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R),Cell membrane,phagocyte;macrophage;elicited macrophage;alternatively activated macrophage;tissue-resident macrophage;alveolar macrophage;microglial cell;colon macrophage;lung macrophage;hematopoietic cell;blood cell;granulocyte;leukocyte;professional antigen presenting cell;myeloid leukocyte;myeloid cell;myelocyte;granulocytopoietic cell,COMPLEMENT,0.833333333333333,TRUE,no,1.863,1.889
C4A,ENSG00000244731,4,3,Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2),Secreted;Synapse,uterine smooth muscle cell;stromal cell;stromal cell of ovary,COMPLEMENT,0,TRUE,no,12.63,13.573
C5AR1,ENSG00000197405,2,2,C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88),Cell membrane,"phagocyte;macrophage;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;alveolar macrophage;lung macrophage;classical monocyte;hematopoietic cell;granulocyte;neutrophil;leukocyte;professional antigen presenting cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;myeloid cell",COMPLEMENT,1,TRUE,no,2.776,3.289
CAPN1,ENSG00000014216,3,3,Calpain-1 catalytic subunit,Cytoplasm,club cell,,1,FALSE,no,5.531,5.052
CASP1,ENSG00000137752,3,3,Caspase-1 (CASP-1),Cytoplasm,"classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell;transit amplifying cell of small intestine",,0.894736842105263,FALSE,no,1.174,2.209
CASP6,ENSG00000138794,3,3,Caspase-6 (CASP-6) (CSP-6),Cytoplasm,intestinal tuft cell;tuft cell of colon,,1,FALSE,no,4.177,3.646
CASP8,ENSG00000064012,3,3,Caspase-8 (CASP-8),Cytoplasm,"memory regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell",,1,FALSE,no,2.154,2.786
CCDC50,ENSG00000152492,3,3,Coiled-coil domain-containing protein 50 (Protein Ymer),Cytoplasm,"professional antigen presenting cell;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;B-1a B cell;common dendritic progenitor",,1,FALSE,no,13.095,14.881
CCDC86,ENSG00000110104,3,3,Coiled-coil domain-containing protein 86 (Cytokine-induced protein with coiled-coil domain),Nucleus,"activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell",,1,FALSE,no,3.769,2.677
CCL1,ENSG00000108702,3,3,C-C motif chemokine 1 (Small-inducible cytokine A1) (T lymphocyte-secreted protein I-309),Secreted,,CCL,,TRUE,no,0.023,
CCL17,ENSG00000102970,3,3,C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine),Secreted,"mononuclear phagocyte;myeloid dendritic cell, human",CCL,1,TRUE,no,0.019,0.015
CCL18,ENSG00000275385,2,2,C-C motif chemokine 18 (Alternative macrophage activation-associated CC chemokine 1) (AMAC-1) (CC chemokine PARC) (Dendritic cell chemokine 1) (DC-CK1) (Macrophage inflammatory protein 4) (MIP-4) (Pulmonary and activation-regulated chemokine) (Small-inducible cytokine A18),Secreted,macrophage;alternatively activated macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;professional antigen presenting cell,CCL,1,TRUE,no,0.053,0.023
CCL22,ENSG00000102962,2,2,C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1),Secreted,"Langerhans cell;myeloid dendritic cell, human;mature conventional dendritic cell;type I NK T cell",CCL,1,TRUE,no,0.037,0.014
CCL23,ENSG00000274736,3,3,C-C motif chemokine 23 (CK-beta-8) (CKB-8) (Macrophage inflammatory protein 3) (MIP-3) (Myeloid progenitor inhibitory factor 1) (MPIF-1) (Small-inducible cytokine A23),Secreted,endothelial cell of uterus,CCL,0,TRUE,no,0.077,0.067
CCL24,ENSG00000106178,3,3,C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2) (Eotaxin-2) (Myeloid progenitor inhibitory factor 2) (MPIF-2) (Small-inducible cytokine A24),Secreted,,CCL,,TRUE,no,0.049,0.018
CCL25,ENSG00000131142,2,2,C-C motif chemokine 25 (Chemokine TECK) (Small-inducible cytokine A25) (Thymus-expressed chemokine),Secreted,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;columnar/cuboidal epithelial cell;intestine goblet cell;M cell of gut;microfold cell of epithelium of small intestine;intestinal epithelial cell;epithelial cell of small intestine;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;transit amplifying cell of small intestine,CCL,0.0588235294117647,TRUE,no,0.023,
CCL27,ENSG00000213927,3,3,C-C motif chemokine 27 (CC chemokine ILC) (Cutaneous T-cell-attracting chemokine) (CTACK) (ESkine) (IL-11 R-alpha-locus chemokine) (Skinkine) (Small-inducible cytokine A27),Secreted,stem cell of epidermis;keratinocyte;epidermal cell,CCL,0,TRUE,no,0.054,0.045
CCNA2,ENSG00000145386,3,3,Cyclin-A2 (Cyclin-A) (Cyclin A),Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;fraction A pre-pro B cell",,1,FALSE,no,0.328,0.284
CCNB2,ENSG00000157456,3,3,G2/mitotic-specific cyclin-B2,,"double-positive, alpha-beta thymocyte;DN4 thymocyte",,1,FALSE,no,0.177,0.116
CCND3,ENSG00000112576,2,2,G1/S-specific cyclin-D3,Nucleus,"platelet;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;late pro-B cell;immature natural killer cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,0.727272727272727,FALSE,no,2.449,1.864
CCR8,ENSG00000179934,3,3,C-C chemokine receptor type 8 (C-C CKR-8) (CC-CKR-8) (CCR-8) (CC chemokine receptor CHEMR1) (CMKBRL2) (Chemokine receptor-like 1) (CKR-L1) (GPR-CY6) (GPRCY6) (TER1) (CD antigen CDw198),Cell membrane,"effector memory CD8-positive, alpha-beta T cell",CCL,1,TRUE,no,0.02,
CCR9,ENSG00000173585,4,4,C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (G-protein coupled receptor 28) (GPR-9-6) (CD antigen CDw199),Cell membrane,"immature alpha-beta T cell;CD8-positive, alpha-beta memory T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte",CCL,1,TRUE,no,0.029,0.009
CCT8,ENSG00000156261,3,3,T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15),Cytoplasm,professional antigen presenting cell;dendritic cell;basophil mast progenitor cell;early lymphoid progenitor,,1,FALSE,no,30.394,27.923
CD160,ENSG00000117281,3,3,CD160 antigen (Natural killer cell receptor BY55) (CD antigen CD160),Secreted,"CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;intraepithelial lymphocyte;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human",CD160,1,FALSE,no,0.056,0.047
CD1B,ENSG00000158485,3,3,T-cell surface glycoprotein CD1b (CD antigen CD1b),Cell membrane,"lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte",,1,FALSE,no,0.017,
CD1D,ENSG00000158473,3,3,Antigen-presenting glycoprotein CD1d (R3G1) (CD antigen CD1d),Cell membrane,mononuclear phagocyte;dendritic cell;conventional dendritic cell;Langerhans cell,CEACAM,1,FALSE,no,0.54,0.965
CD1E,ENSG00000158488,3,3,"T-cell surface glycoprotein CD1e, membrane-associated (hCD1e) (R2G1) (CD antigen CD1e)",Lysosome lumen,"mononuclear phagocyte;Langerhans cell;dendritic cell, human;lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte",,1,FALSE,no,0.053,0.023
