gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,HALLMARK,REACTOME,KEGG,n_pathways
ABCD4,,,no,True,ENSG00000119688,Lysosomal cobalamin transporter ABCD4,Endoplasmic reticulum membrane,,,2.535,2.032,11764,4912,-0.319,,"ABC Transporter Disorders R-HSA-5619084; Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741; Defects In Cobalamin (B12) Metabolism R-HSA-3296469; Defects In Vitamin And Cofactor Metabolism R-HSA-3296482; Disease R-HSA-1643685; Diseases Of Metabolism R-HSA-5668914; Disorders Of Transmembrane Transporters R-HSA-5619115; Metabolism Of Vitamins And Cofactors R-HSA-196854; Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849; Metabolism R-HSA-1430728; Transport Of RCbl Within Body R-HSA-9758890; Uptake Of Dietary Cobalamins Into Enterocytes R-HSA-9758881",ABC transporters; Peroxisome,14
ABCF3,,,no,True,ENSG00000161204,ATP-binding cassette sub-family F member 3,,,,2.945,2.129,13667,5146,-0.468,,,,0
ABHD11,,,no,True,ENSG00000106077,Protein ABHD11,,fallopian tube secretory epithelial cell,,0.67,0.372,3108,900,-0.847,,,,0
ABHD6,,,no,True,ENSG00000163686,Monoacylglycerol lipase ABHD6,Late endosome membrane,,,0.925,1.032,4291,2495,0.159,Xenobiotic Metabolism,"Arachidonate Production From DAG R-HSA-426048; Effects Of PIP2 Hydrolysis R-HSA-114508; G Alpha (Q) Signaling Events R-HSA-416476; GPCR Downstream Signaling R-HSA-388396; Hemostasis R-HSA-109582; Platelet Activation, Signaling And Aggregation R-HSA-76002; Signal Transduction R-HSA-162582; Signaling By GPCR R-HSA-372790",Retrograde endocannabinoid signaling,10
ABL1,,,no,True,ENSG00000097007,Tyrosine-protein kinase ABL1,Cytoplasm,brown preadipocyte,,4.255,3.473,19747,8394,-0.293,G2-M Checkpoint; Mitotic Spindle,"Axon Guidance R-HSA-422475; Cell Cycle R-HSA-1640170; Cell Cycle, Mitotic R-HSA-69278; Cyclin D Associated Events In G1 R-HSA-69231; DNA Double Strand Break Response R-HSA-5693606; DNA Double-Strand Break Repair R-HSA-5693532; DNA Repair R-HSA-73894; Developmental Biology R-HSA-1266738; Disease R-HSA-1643685; FCGR3A-mediated Phagocytosis R-HSA-9664422; Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231; Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480; Gene Expression (Transcription) R-HSA-74160; Generic Transcription Pathway R-HSA-212436; HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567; HDR Thru Single Strand Annealing (SSA) R-HSA-5685938; Hemostasis R-HSA-109582; Homology Directed Repair R-HSA-5693538; Immune System R-HSA-168256; Infectious Disease R-HSA-5663205; Innate Immune System R-HSA-168249; Leishmania Infection R-HSA-9658195; Mitotic G1 Phase And G1/S Transition R-HSA-453279; Myogenesis R-HSA-525793; Nervous System Development R-HSA-9675108; RHO GTPase Effectors R-HSA-195258; RHO GTPases Activate WASPs And WAVEs R-HSA-5663213; RNA Polymerase II Transcription R-HSA-73857; RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236; RUNX2 Regulates Bone Development R-HSA-8941326; RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973; Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565; Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482; Role Of ABL In ROBO-SLIT Signaling R-HSA-428890; Signal Transduction R-HSA-162582; Signaling By ROBO Receptors R-HSA-376176; Signaling By Rho GTPases R-HSA-194315; Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542; Transcriptional Regulation By RUNX1 R-HSA-8878171; Transcriptional Regulation By RUNX2 R-HSA-8878166",Axon guidance; Cell cycle; Chronic myeloid leukemia; ErbB signaling pathway; MicroRNAs in cancer; Neurotrophin signaling pathway; Pathogenic Escherichia coli infection; Pathways in cancer; Ras signaling pathway; Viral myocarditis,52
ABL2,,,no,True,ENSG00000143322,Tyrosine-protein kinase ABL2,Cytoplasm,,,1.918,1.656,8900,4003,-0.211,,"Axon Guidance R-HSA-422475; Cytokine Signaling In Immune System R-HSA-1280215; Developmental Biology R-HSA-1266738; FLT3 Signaling R-HSA-9607240; Immune System R-HSA-168256; Negative Regulation Of FLT3 R-HSA-9706369; Nervous System Development R-HSA-9675108; RAC1 GTPase Cycle R-HSA-9013149; RAC3 GTPase Cycle R-HSA-9013423; RHO GTPase Cycle R-HSA-9012999; Role Of ABL In ROBO-SLIT Signaling R-HSA-428890; Signal Transduction R-HSA-162582; Signaling By ROBO Receptors R-HSA-376176; Signaling By Rho GTPases R-HSA-194315; Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",ErbB signaling pathway; Ras signaling pathway; Viral myocarditis,18
ABO,,,no,True,ENSG00000175164,Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase),Golgi apparatus,,,0.486,0.505,2254,1220,0.056,,Blood Group Systems Biosynthesis R-HSA-9033658; Metabolism Of Carbohydrates R-HSA-71387; Metabolism R-HSA-1430728,Glycosphingolipid biosynthesis,4
ABTB1,,,no,True,ENSG00000114626,Ankyrin repeat and BTB/POZ domain-containing protein 1 (Elongation factor 1A-binding protein),Cytoplasm,blood cell;granulocyte;neutrophil,,3.208,1.987,14886,4803,-0.691,,,,0
ABTB2,,,no,True,ENSG00000166016,Ankyrin repeat and BTB/POZ domain-containing protein 2,,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;cortical cell of adrenal gland;kidney connecting tubule epithelial cell;kidney collecting duct cell,,1.176,0.604,5459,1459,-0.962,,,,0
ACAA2,,,no,True,ENSG00000167315,"3-ketoacyl-CoA thiolase, mitochondrial",Mitochondrion,intrahepatic cholangiocyte;transit amplifying cell of colon;transit amplifying cell of small intestine,,3.283,2.262,15235,5468,-0.537,Adipogenesis; Fatty Acid Metabolism; Oxidative Phosphorylation,Fatty Acid Metabolism R-HSA-8978868; Metabolism Of Lipids R-HSA-556833; Metabolism R-HSA-1430728; Mitochondrial Fatty Acid Beta-Oxidation R-HSA-77289,"Fatty acid degradation; Fatty acid elongation; Valine, leucine and isoleucine degradation",10
ACACA,,,no,True,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,1.327,1.283,6160,3100,-0.049,PI3K/AKT/mTOR  Signaling; mTORC1 Signaling,Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168; Biotin Transport And Metabolism R-HSA-196780; ChREBP Activates Metabolic Gene Expression R-HSA-163765; Defective HLCS Causes Multiple Carboxylase Deficiency R-HSA-3371599; Defects In Biotin (Btn) Metabolism R-HSA-3323169; Defects In Vitamin And Cofactor Metabolism R-HSA-3296482; Disease R-HSA-1643685; Diseases Of Metabolism R-HSA-5668914; Fatty Acid Metabolism R-HSA-8978868; Fatty acyl-CoA Biosynthesis R-HSA-75105; Integration Of Energy Metabolism R-HSA-163685; Metabolism Of Lipids R-HSA-556833; Metabolism Of Steroids R-HSA-8957322; Metabolism Of Vitamins And Cofactors R-HSA-196854; Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849; Metabolism R-HSA-1430728; Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829,AMPK signaling pathway; Fatty acid biosynthesis; Glucagon signaling pathway; Insulin signaling pathway; Propanoate metabolism; Pyruvate metabolism,25
ACACB,,,no,True,ENSG00000076555,Acetyl-CoA carboxylase 2,Mitochondrion,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,2.137,1.634,9917,3950,-0.387,,Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168; Biotin Transport And Metabolism R-HSA-196780; ChREBP Activates Metabolic Gene Expression R-HSA-163765; Integration Of Energy Metabolism R-HSA-163685; Metabolism Of Lipids R-HSA-556833; Metabolism Of Steroids R-HSA-8957322; Metabolism Of Vitamins And Cofactors R-HSA-196854; Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849; Metabolism R-HSA-1430728; Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829,AMPK signaling pathway; Adipocytokine signaling pathway; Fatty acid biosynthesis; Glucagon signaling pathway; Insulin resistance; Insulin signaling pathway; Propanoate metabolism; Pyruvate metabolism,18
ACAP2,,,no,True,ENSG00000114331,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)",Endosome membrane,,,2.363,2.205,10967,5330,-0.1,,,Endocytosis,1
ACAT1,,,no,True,ENSG00000075239,"Acetyl-CoA acetyltransferase, mitochondrial",Mitochondrion,kidney collecting duct intercalated cell;renal intercalated cell,,0.695,0.662,3224,1601,-0.069,Oxidative Phosphorylation,,"Butanoate metabolism; Fat digestion and absorption; Fatty acid degradation; Glyoxylate and dicarboxylate metabolism; Lysine degradation; Propanoate metabolism; Pyruvate metabolism; Synthesis and degradation of ketone bodies; Terpenoid backbone biosynthesis; Tryptophan metabolism; Valine, leucine and isoleucine degradation",12
ACE2,,,no,True,ENSG00000130234,Angiotensin-converting enzyme 2,Apical cell membrane,ciliated epithelial cell;enterocyte;enterocyte of epithelium of small intestine;columnar/cuboidal epithelial cell;type L enteroendocrine cell;intestinal epithelial cell;epithelial cell of small intestine,,0.274,0.283,1273,685,0.047,,Attachment And Entry R-HSA-9678110; Disease R-HSA-1643685; Early SARS-CoV-2 Infection Events R-HSA-9772572; Infectious Disease R-HSA-5663205; Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377; Metabolism Of Proteins R-HSA-392499; Peptide Hormone Metabolism R-HSA-2980736; Potential Therapeutics For SARS R-HSA-9679191; SARS-CoV Infections R-HSA-9679506; SARS-CoV-1 Infection R-HSA-9678108; SARS-CoV-2 Infection R-HSA-9694516,Coronavirus disease; Protein digestion and absorption; Renin-angiotensin system,14
ACLY,,,no,True,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,,5.449,4.013,25288,9698,-0.441,Adipogenesis; mTORC1 Signaling,ChREBP Activates Metabolic Gene Expression R-HSA-163765; Fatty Acid Metabolism R-HSA-8978868; Fatty acyl-CoA Biosynthesis R-HSA-75105; Immune System R-HSA-168256; Innate Immune System R-HSA-168249; Integration Of Energy Metabolism R-HSA-163685; Metabolism Of Lipids R-HSA-556833; Metabolism R-HSA-1430728; Neutrophil Degranulation R-HSA-6798695,Citrate cycle (TCA cycle),12
ACOD1,,,no,True,ENSG00000102794,Cis-aconitate decarboxylase (CAD),Mitochondrion,,,0.03,0.052,140,126,0.789,,Metabolism Of Nucleotides R-HSA-15869; Metabolism R-HSA-1430728; Nucleotide Biosynthesis R-HSA-8956320,,3
ACOXL,,,no,False,,,,,,0.285,0.287,1321,693,0.011,,Beta-oxidation Of pristanoyl-CoA R-HSA-389887; Fatty Acid Metabolism R-HSA-8978868; Metabolism Of Lipids R-HSA-556833; Metabolism R-HSA-1430728; Peroxisomal Lipid Metabolism R-HSA-390918,,5
ACPP,,,no,True,ENSG00000014257,ACPP protein,,,,0.237,0.228,1102,552,-0.056,,,,0
ACRBP,,,no,True,ENSG00000111644,"Acrosin-binding protein (Acrosin-binding protein, 60 kDa form) (Cancer/testis antigen 23) (CT23) (Cancer/testis antigen OY-TES-1) (Proacrosin-binding protein sp32)",Secreted,blood cell;platelet;peripheral blood mononuclear cell;megakaryocyte-erythroid progenitor cell;megakaryocyte,,0.229,0.355,1063,858,0.632,Spermatogenesis,,,1
ACRV1,,,no,True,ENSG00000134940,Acrosomal protein SP-10 (Acrosomal vesicle protein 1),Cytoplasmic vesicle,,,0.069,0.118,320,286,0.779,Spermatogenesis,,,1
ACTBL2,,,no,True,ENSG00000169067,Beta-actin-like protein 2 (Kappa-actin),Cytoplasm,,,0.042,0.095,195,229,1.173,,,,0
ACTL6A,,,no,True,ENSG00000136518,Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K),Nucleus,,,2.083,1.612,9665,3897,-0.369,,Chromatin Modifying Enzymes R-HSA-3247509; DNA Damage Recognition In GG-NER R-HSA-5696394; DNA Repair R-HSA-73894; Deubiquitination R-HSA-5688426; Gene Expression (Transcription) R-HSA-74160; Generic Transcription Pathway R-HSA-212436; Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399; HATs Acetylate Histones R-HSA-3214847; Metabolism Of Proteins R-HSA-392499; Nucleotide Excision Repair R-HSA-5696398; Post-translational Protein Modification R-HSA-597592; RMTs Methylate Histone Arginines R-HSA-3214858; RNA Polymerase II Transcription R-HSA-73857; RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243; Transcriptional Regulation By RUNX1 R-HSA-8878171; UCH Proteinases R-HSA-5689603,Hepatocellular carcinoma; Thermogenesis,18
ACTL7A,,,no,True,ENSG00000187003,Actin-like protein 7A (Actin-like-7-alpha),Cytoplasm,,,0.026,0.043,121,104,0.723,,,,0
ACTN4,,,no,True,ENSG00000130402,Alpha-actinin-4 (Non-muscle alpha-actinin 4),Nucleus,myoepithelial cell;myoepithelial cell of mammary gland;podocyte,,9.382,6.518,43542,15753,-0.526,Apical Junction; Mitotic Spindle,"Cell-Cell Communication R-HSA-1500931; Hemostasis R-HSA-109582; Nephrin Family Interactions R-HSA-373753; Platelet Activation, Signaling And Aggregation R-HSA-76002; Platelet Degranulation R-HSA-114608; Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005",Adherens junction; Amoebiasis; Focal adhesion; Leukocyte transendothelial migration; Regulation of actin cytoskeleton; Shigellosis; Systemic lupus erythematosus; Tight junction; Viral carcinogenesis,17
ACVR1,,,no,True,ENSG00000115170,Activin receptor type-1,Membrane,,TGFb;BMP;AMH,0.938,0.837,4352,2022,-0.165,TGF-beta Signaling,,Cytokine-cytokine receptor interaction; Fluid shear stress and atherosclerosis; Signaling pathways regulating pluripotency of stem cells; TGF-beta signaling pathway,5
ACVR1B,,,no,True,ENSG00000135503,Activin receptor type-1B,Cell membrane,,TGFb;GDF;MSTN;NODAL;ACTIVIN,3.302,2.494,15323,6027,-0.405,IL-6/JAK/STAT3 Signaling; Inflammatory Response; p53 Pathway,Developmental Biology R-HSA-1266738; Regulation Of Signaling By NODAL R-HSA-1433617; Signal Transduction R-HSA-162582; Signaling By Activin R-HSA-1502540; Signaling By NODAL R-HSA-1181150; Signaling By TGFB Family Members R-HSA-9006936,Cytokine-cytokine receptor interaction; Signaling pathways regulating pluripotency of stem cells; TGF-beta signaling pathway,12
ACVR2A,,,no,True,ENSG00000121989,Activin receptor type-2A,Cell membrane,,BMP;BMP10;GDF;MSTN;NODAL;ACTIVIN,1.403,1.076,6510,2601,-0.382,Allograft Rejection; Inflammatory Response; UV Response Dn,Developmental Biology R-HSA-1266738; Regulation Of Signaling By NODAL R-HSA-1433617; Signal Transduction R-HSA-162582; Signaling By Activin R-HSA-1502540; Signaling By BMP R-HSA-201451; Signaling By NODAL R-HSA-1181150; Signaling By TGFB Family Members R-HSA-9006936,Cytokine-cytokine receptor interaction; Fluid shear stress and atherosclerosis; Signaling pathways regulating pluripotency of stem cells; TGF-beta signaling pathway,14
ACYP2,,,no,True,ENSG00000170634,Acylphosphatase-2,,pancreatic D cell,,1.231,1.055,5715,2551,-0.222,,,Pyruvate metabolism,1
ADAM10,,,no,True,ENSG00000137845,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10),Cell membrane,papillary tips cell,,6.722,5.558,31197,13433,-0.274,Apical Surface; Protein Secretion,Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948; Amyloid Fiber Formation R-HSA-977225; Axon Guidance R-HSA-422475; Collagen Degradation R-HSA-1442490; Constitutive Signaling By NOTCH1 HD Domain Mutants R-HSA-2691232; Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862; Constitutive Signaling By NOTCH1 t(7;9)(NOTCH1:M1580 K2555) Translocation Mutant R-HSA-2660826; Degradation Of Extracellular Matrix R-HSA-1474228; Developmental Biology R-HSA-1266738; Disease R-HSA-1643685; Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202; EPH-Ephrin Signaling R-HSA-2682334; EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665; Extracellular Matrix Organization R-HSA-1474244; Immune System R-HSA-168256; Innate Immune System R-HSA-168249; Metabolism Of Proteins R-HSA-392499; NOTCH2 Activation And Transmission Of Signal To Nucleus R-HSA-2979096; NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507; NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700; Nervous System Development R-HSA-9675108; Neutrophil Degranulation R-HSA-6798695; Post-translational Protein Modification R-HSA-597592; Post-translational Protein Phosphorylation R-HSA-8957275; Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426; Signal Transduction R-HSA-162582; Signaling By EGFR R-HSA-177929; Signaling By NOTCH R-HSA-157118; Signaling By NOTCH1 R-HSA-1980143; Signaling By NOTCH2 R-HSA-1980145; Signaling By NOTCH3 R-HSA-9012852; Signaling By NOTCH4 R-HSA-9013694; Signaling By Receptor Tyrosine Kinases R-HSA-9006934,Alzheimer disease; Epithelial cell signaling in Helicobacter pylori infection,37
